age,gender,marital_status,country,place_you_live_in,no_of_family_members_living_with,employment_type,current_industry,current_industry_other,"Number of employees in your organization",total_work_experience,work_experience_with_current_company,current_role_category,current_role_category_other,current_annual_salary,mode_of_working,how_many_days_you_go_to_office,how_many_days_personal_choice_or_prescribed_by_company,if_personal_choice_how_many_days_willing_to_work_in_office,total_commute_time_in_minutes,rating_wfh_hybrid_wfo,factors_influenced_wfo,factors_influenced_wfo_other,factors_influenced_hybrid,factors_influenced_hybrid_other,factors_influenced_wfh,factors_influenced_wfh_other,entry_id,entry_status,created_at
48,Male,Married,India,Metro,3,Private,Healthcare,,1-300,20,1,Others,Consultant,70,"Complete work from office",6,"Prescribed by company",5,30,1,"Better interpersonal connect, Better infrastructure",,,,,,280,unread,"2023-02-25 08:11:19"
46,Female,Married,India,Urban,1,Private,Finance,,10000+,23,23,"Mid-Level Management",,,"Complete work from home",,,,60,10,,,,,"Avoid the long commute to office, Work life balance (Ex., better work life seperation), Able to make healthier choices like exercising or preparing healthire meals",,279,unread,"2023-02-24 17:39:37"
48,Male,Married,Taiwan,Urban,2,Private,Technology,,1001-10000,22,4,"Mid-Level Management",,,Hybrid,3,"Prescribed by company",3,60,5,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Work life balance (Ex., better work life seperation)",,,,278,unread,"2023-02-21 23:10:20"
39,Female,Married,India,Town,3,Private,Finance,,10000+,15,8,"Frontline Managers",,50,"Complete work from home",,,,180,10,,,,,"Avoid the long commute to office, Allows more time to spend with friends and family, Work life balance (Ex., better work life seperation), Better focus on tasks & less distractions, Able to make healthier choices like exercising or preparing healthire meals, Better Productivity",,277,unread,"2023-02-19 22:04:31"
32,Female,Married,India,Metro,2,Private,Finance,,10000+,10,7,"Frontline Managers",,50,Hybrid,1,"Prescribed by company",1,130,7,,,"Relatively less commute as compared to only working from office, Work life balance (Ex., better work life seperation), Better Productivity",,,,276,unread,"2023-02-16 04:51:20"
42,Male,Single,India,Urban,1,"Self Employed",E-commerce,,1-300,20,20,"Mid-Level Management",,,"Complete work from office",6,"Personal choice",,150,9,,,,,"Work life balance (Ex., better work life seperation)",,275,unread,"2023-02-15 15:53:41"
26,Male,Single,India,Town,2,Private,Finance,,1-300,7,7,Associates,,2.5,"Complete work from home",,,,260,6,,,"Better Productivity",,,,274,unread,"2023-02-15 03:57:24"
38,Male,Married,India,Metro,2,Private,Technology,,10000+,18,2,"Mid-Level Management",,,Hybrid,2,"Prescribed by company",2,20,7,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Relatively less commute as compared to only working from office, Work life balance (Ex., better work life seperation), Not all days are as demanding to be in office, Sense of being empowered and trusted, Having a more physically active life, Better Productivity",,,,273,unread,"2023-02-14 05:50:23"
41,Male,Married,India,Urban,5,Private,Technology,,1001-10000,12,1,Others,,,"Complete work from office",2,"Personal choice",,480,10,,,,,"Avoid the long commute to office, Allows more time to spend with friends and family, Work life balance (Ex., better work life seperation), Better focus on tasks & less distractions, Get better sleep, Better Productivity",,272,unread,"2023-02-12 00:13:33"
60,Male,Married,India,Metro,1,Private,Manufacturing,,301-1000,38,5,"Top Level Management",,48,"Complete work from office",6,"Prescribed by company",5,210,4,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Relatively less commute as compared to only working from office, Work life balance (Ex., better work life seperation), Not all days are as demanding to be in office, Sense of being empowered and trusted, Having a more physically active life, Better Productivity",,,,271,unread,"2023-02-11 22:56:20"
28,Male,Single,India,Metro,3,Private,Technology,,1001-10000,4,1,"Mid-Level Management",,18,"Complete work from home",,,,0,9,,,,,"Avoid the long commute to office, Allows more time to spend with friends and family, Work life balance (Ex., better work life seperation), Better focus on tasks & less distractions, Get better sleep, Able to make healthier choices like exercising or preparing healthire meals, Better Productivity",,270,unread,"2023-02-11 17:40:27"
39,Male,Married,India,Urban,2,Private,Manufacturing,,1001-10000,16,10,"Mid-Level Management",,,Hybrid,3,"Prescribed by company",2,500,2,"Better interpersonal connect, Better infrastructure, Work life balance (Ex., better work life seperation)",,,,,,269,unread,"2023-02-11 15:42:48"
29,Male,Single,India,Metro,0,Government,Other,Defence,10000+,6,6,"Frontline Managers",,18,"Complete work from office",6,"Prescribed by company",5,10,7,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Work life balance (Ex., better work life seperation), Not all days are as demanding to be in office, Better Productivity",,,,268,unread,"2023-02-11 08:22:31"
34,Male,Married,India,Metro,4,Private,Technology,,10000+,11,1,Associates,,,"Complete work from office",1,"Personal choice",,0,10,,,,,"Avoid the long commute to office, Allows more time to spend with friends and family, Work life balance (Ex., better work life seperation), Able to make healthier choices like exercising or preparing healthire meals",,267,unread,"2023-02-11 06:51:45"
42,Male,Married,India,Urban,2,Private,Technology,,10000+,19,6,"Mid-Level Management",,1,Hybrid,3,"Prescribed by company",1,120,5,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Relatively less commute as compared to only working from office, Work life balance (Ex., better work life seperation)",,,,266,unread,"2023-02-10 05:35:05"
38,Male,Married,India,Town,3,Private,Technology,,10000+,15,4,Associates,,30,Hybrid,2,"Prescribed by company",2,240,5,,,"Get time to spend with colleagues as well as family, Relatively less commute as compared to only working from office, Work life balance (Ex., better work life seperation), Not all days are as demanding to be in office, Better Productivity",,,,265,unread,"2023-02-10 02:37:15"
35,Male,Married,India,Urban,2,Private,Technology,,301-1000,13,2,"Frontline Managers",,,Hybrid,1,"Personal choice",,90,9,,,,,"Avoid the long commute to office, Allows more time to spend with friends and family, Work life balance (Ex., better work life seperation), Better focus on tasks & less distractions, Better Productivity",,264,unread,"2023-02-10 01:14:19"
37,Male,Married,India,Urban,4,Private,Manufacturing,,10000+,12.5,10.5,"Mid-Level Management",,30,"Complete work from office",6,"Prescribed by company",1,30,9,,,,,"Allows more time to spend with friends and family, Better focus on tasks & less distractions, Able to make healthier choices like exercising or preparing healthire meals, Better Productivity",,263,unread,"2023-02-09 13:47:11"
30,Female,Single,India,Metro,4,Private,Other,,10000+,8.5,3,Associates,,,Hybrid,2,"Prescribed by company",2,30,5,,,"Flexibility - Better Control over work hours and work location, Relatively less commute as compared to only working from office, Not all days are as demanding to be in office",,,,262,read,"2023-02-09 12:17:01"
37,Male,Married,India,Metro,3,Private,Technology,,10000+,11,3,Others,Engineer,24.5,Hybrid,2,"Prescribed by company",3,25,5,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Relatively less commute as compared to only working from office, Work life balance (Ex., better work life seperation), Sense of being empowered and trusted, Having a more physically active life, Better Productivity",,,,261,unread,"2023-02-09 10:39:10"
28,Male,Single,India,Metro,3,Private,Technology,,10000+,4,0.8,Associates,,7,"Complete work from office",5,"Prescribed by company",3,60,7,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Work life balance (Ex., better work life seperation), Not all days are as demanding to be in office, Sense of being empowered and trusted, Having a more physically active life, Better Productivity",,,,260,unread,"2023-02-09 10:15:41"
25,Male,Single,India,Urban,5,Private,Healthcare,,10000+,1.5,0.5,Associates,,7.5,Hybrid,2,"Prescribed by company",1,240,4,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Sense of being empowered and trusted, Having a more physically active life",,,,259,unread,"2023-02-09 08:16:29"
34,Male,Seperated,India,Metro,0,Private,Technology,,10000+,12,1,"Mid-Level Management",,24,Hybrid,1,"Prescribed by company",0,180,8,,,,,"Avoid the long commute to office, Allows more time to spend with friends and family, Work life balance (Ex., better work life seperation), Better focus on tasks & less distractions, Able to make healthier choices like exercising or preparing healthire meals, Better Productivity",,258,unread,"2023-02-09 07:57:33"
35,Male,Married,India,Metro,2,Private,Technology,,1-300,11,7,"Mid-Level Management",,,"Complete work from home",,,,40,5,,,"Flexibility - Better Control over work hours and work location",,,,257,unread,"2023-02-09 04:27:18"
40,Male,Married,India,Metro,4,Private,Healthcare,,10000+,22,0.5,"Frontline Managers",,30,Hybrid,5,"Prescribed by company",5,1,10,,,,,"Better focus on tasks & less distractions, Better Productivity",,256,unread,"2023-02-09 02:47:11"
36,Male,Married,India,Urban,3,Private,Technology,,10000+,10,2,"Mid-Level Management",,,Hybrid,2,"Prescribed by company",2,45,7,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Relatively less commute as compared to only working from office, Work life balance (Ex., better work life seperation)",,,,255,unread,"2023-02-09 02:26:36"
32,Male,Married,India,Metro,6,Government,Other,"Oil and Gas",10000+,12,12,"Frontline Managers",,,"Complete work from office",5,"Prescribed by company",2,240,7,,,"Get time to spend with colleagues as well as family, Relatively less commute as compared to only working from office, Sense of being empowered and trusted, Better Productivity",,,,254,unread,"2023-02-09 02:25:58"
38,Male,Married,India,Metro,3,Private,Technology,,10000+,12,1,"Mid-Level Management",,,"Complete work from home",,,,60,10,,,,,"Avoid the long commute to office, Allows more time to spend with friends and family, Work life balance (Ex., better work life seperation), Better focus on tasks & less distractions, Get better sleep, Able to make healthier choices like exercising or preparing healthire meals, Better Productivity",,253,unread,"2023-02-08 18:19:43"
40,Male,Married,India,Metro,3,Private,Technology,,10000+,14,2,"Mid-Level Management",,30,Hybrid,3,"Prescribed by company",2,120,10,,,,,"Avoid the long commute to office, Work life balance (Ex., better work life seperation), Better focus on tasks & less distractions, Get better sleep",,252,unread,"2023-02-08 18:18:34"
56,Male,Married,"United States (US)",Urban,2,Private,Technology,,10000+,30,7,"Mid-Level Management",,,"Complete work from home",,,,0,10,,,,,"Better focus on tasks & less distractions, Able to make healthier choices like exercising or preparing healthire meals, Better Productivity",,251,unread,"2023-02-08 17:37:21"
39,Female,Married,India,Metro,3,Private,Other,Ip,1001-10000,11,8,"Frontline Managers",,10,Hybrid,1,"Personal choice",,130,10,,,,,"Avoid the long commute to office",,250,unread,"2023-02-08 17:15:54"
38,Male,Married,"United States (US)",Urban,2,Private,Technology,,1001-10000,11,8,Others,"Team Lead",,Hybrid,3,"Prescribed by company",3,20,5,,,"Get time to spend with colleagues as well as family, Not all days are as demanding to be in office, Better Productivity",,,,249,unread,"2023-02-08 16:48:46"
23,Male,Single,India,Town,6,Private,Technology,,1001-10000,4,2,Associates,,10,"Complete work from home",,,,15,8,,,,,"Better focus on tasks & less distractions, Able to make healthier choices like exercising or preparing healthire meals, Better Productivity",,248,unread,"2023-02-08 16:33:54"
37,Male,Married,India,Metro,1,Private,Other,Consulting,1001-10000,17,11,"Top Level Management",,30,Hybrid,3,"Personal choice",,150,3,"Better interpersonal connect, Better infrastructure, Work life balance (Ex., better work life seperation), Better focus on tasks & less distractions, Having a more physically active life, Better Productivity, Optimize Innovation & Collaboration",,,,,,247,unread,"2023-02-08 16:07:14"
25,Male,Single,India,Metro,2,Private,Technology,,1001-10000,2,2,Associates,,7,Hybrid,2,"Personal choice",,25,5,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Relatively less commute as compared to only working from office, Work life balance (Ex., better work life seperation), Not all days are as demanding to be in office, Having a more physically active life, Better Productivity",,,,246,unread,"2023-02-08 13:34:17"
32,Male,Married,India,Metro,1,Government,Technology,,10000+,8,2,"Frontline Managers",,40,"Complete work from home",,,,20,1,"Better interpersonal connect, Better infrastructure, Work life balance (Ex., better work life seperation), Better focus on tasks & less distractions, Having a more physically active life, Better Productivity",,,,,,245,unread,"2023-02-08 10:54:14"
35,Male,Married,India,Metro,2,Private,Technology,,10000+,15,1,"Mid-Level Management",,25,Hybrid,4,"Prescribed by company",3,60,5,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Relatively less commute as compared to only working from office, Work life balance (Ex., better work life seperation), Not all days are as demanding to be in office, Having a more physically active life, Better Productivity",,,,244,unread,"2023-02-08 10:45:49"
35,Male,Married,India,Metro,5,Private,Other,"Intellectual Property",10000+,18,10,"Mid-Level Management",,25,Hybrid,3,"Personal choice",,45,5,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Not all days are as demanding to be in office, Having a more physically active life",,,,243,unread,"2023-02-08 10:07:33"
